2020-10-08 Thursday 22:40:37 $(filename)s : INFO this is a message
2020-10-08 Thursday 22:40:37 $(filename)s : INFO  * Restarting with stat
2020-10-08 Thursday 22:40:38 $(filename)s : INFO this is a message
2020-10-08 Thursday 22:40:38 $(filename)s : WARNING  * Debugger is active!
2020-10-08 Thursday 22:40:38 $(filename)s : INFO  * Debugger PIN: 187-904-191
2020-10-08 Thursday 22:40:38 $(filename)s : INFO  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2020-10-08 Thursday 22:40:53 $(filename)s : INFO (1, ('Python¿ª·¢¹¤³ÌÊ¦', '1-2Íò/ÔÂ', 'ÉîÛÚ-ÄÏÉ½Çø', '3-4Äê¾­Ñé', '´ó×¨', 'ÕÐ1ÈË', '10-08·¢²¼'), 'ÉîÛÚÊÐÎÖÏí¿Æ¼¼ÓÐÏÞ¹«Ë¾±±¾©·Ö¹«Ë¾')
2020-10-08 Thursday 22:40:53 $(filename)s : INFO (2, ('Pythonºó¶Ë¿ª·¢¹¤³ÌÊ¦', '1.5-2.5Íò/ÔÂ', 'Öéº£-ÏãÖÞÇø', '3-4Äê¾­Ñé', 'ÕÐ2ÈË', '10-08·¢²¼', ''), 'Öéº£éøÓòÍøÂç¿Æ¼¼ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:40:53 $(filename)s : INFO (3, ('Python¿ª·¢¹¤³ÌÊ¦', '1-1.5Íò/ÔÂ', '¹ãÖÝ-·¬Ø®Çø', '3-4Äê¾­Ñé', 'ÕÐÈô¸ÉÈË', '10-08·¢²¼', ''), '±¦¶à¶àµç×ÓÉÌÎñ£¨¹ã¶«£©ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:40:53 $(filename)s : INFO (4, ('Python webºó¶Ë¹¤³ÌÊ¦', '0.8-1.5Íò/ÔÂ', '¹ãÖÝ-·¬Ø®Çø', '3-4Äê¾­Ñé', 'ÕÐÈô¸ÉÈË', '', ''), 'Ì©ÐÇ´ï£¨±±¾©£©¿Æ¼¼ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:40:53 $(filename)s : INFO (5, ('python¿ª·¢¹¤³ÌÊ¦', '', 'ÄÏ¾©', '±¾¿Æ', 'ÕÐ1ÈË', '10-08·¢²¼', ''), 'ÄÏ¾©ÖÐÐÂÈü¿Ë¿Æ¼¼ÓÐÏÞÔðÈÎ¹«Ë¾')
2020-10-08 Thursday 22:40:53 $(filename)s : INFO (6, ('(¼±Æ¸) pythonÅÀ³æ¿ª·¢¹¤³ÌÊ¦', '4.5-6Ç§/ÔÂ', '³¤É³-ÌìÐÄÇø', 'ÎÞÐè¾­Ñé', '´ó×¨', 'ÕÐÈô¸ÉÈË', '10-08·¢²¼'), 'Ö®ÃÀ¼¯ÍÅ')
2020-10-08 Thursday 22:40:53 $(filename)s : INFO (7, ('Èí¼þ¹¤³ÌÊ¦£¨QT/C++/Python)', '1-2Íò/ÔÂ', 'ÉîÛÚ', '3-4Äê¾­Ñé', '±¾¿Æ', 'ÕÐÈô¸ÉÈË', '10-08·¢²¼'), '³É¶¼ÊÐÓ¥ÅµÊµÒµÓÐÏÞ¹«Ë¾ÉîÛÚ·Ö¹«Ë¾')
2020-10-08 Thursday 22:40:53 $(filename)s : INFO (8, ('Python½²Ê¦8k-12k', '0.8-1.5Íò/ÔÂ', '³¤É³-ÔÀÂ´Çø', '1Äê¾­Ñé', '´ó×¨', 'ÕÐÈô¸ÉÈË', '10-08·¢²¼'), 'ºþÄÏµÞ·²½ÌÓý¿Æ¼¼ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:40:53 $(filename)s : INFO (9, ('Python¿ª·¢¹¤³ÌÊ¦£¨´óÊý¾Ý·½Ïò£©', '1.5-2.5Íò/ÔÂ', 'ÉîÛÚ-ÄÏÉ½Çø', '3-4Äê¾­Ñé', '±¾¿Æ', 'ÕÐ1ÈË', '10-08·¢²¼'), 'ÉîÛÚÊÐ·á³²¿Æ¼¼ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:40:53 $(filename)s : INFO (10, ('pythonÅÀ³æ¹¤³ÌÊ¦', '1-1.5Íò/ÔÂ', 'Îäºº', '2Äê¾­Ñé', '±¾¿Æ', 'ÕÐ5ÈË', '10-08·¢²¼'), 'ÉîÛÚÊÐ²Æ¸»Ç÷ÊÆ¿Æ¼¼¹É·ÝÓÐÏÞ¹«Ë¾ÎäººÑÐ·¢ÖÐÐÄ')
2020-10-08 Thursday 22:40:53 $(filename)s : INFO (11, ('Pythonºó¶Ë¿ª·¢¹¤³ÌÊ¦ (Ö°Î»±àºÅ£º¶«ºþ¸ßÐÂÇø)', '0.8-1Íò/ÔÂ', 'Îäºº', '±¾¿Æ', 'ÕÐ8ÈË', '10-08·¢²¼', ''), 'ÎäººÐ¡¹û¿Æ¼¼ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:40:53 $(filename)s : INFO (12, ('python¿ª·¢¹¤³ÌÊ¦ (Ö°Î»±àºÅ£º195)', '6-8Ç§/ÔÂ', 'Äþ²¨', '±¾¿Æ', 'ÕÐ2ÈË', '10-08·¢²¼', ''), 'Äþ²¨³©ÏëÈí¼þ¹É·ÝÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:40:53 $(filename)s : INFO (13, ('Python¹¤³ÌÊ¦', '6-8Ç§/ÔÂ', 'ÉîÛÚ-Áú»ªÇø', '2Äê¾­Ñé', '´ó×¨', 'ÕÐ1ÈË', '10-08·¢²¼'), 'ÉîÛÚÊÐÄ¦°ÝÃ³Ò×ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:40:53 $(filename)s : INFO (14, ('PythonÓÎÏ·ÑÐ·¢ÊµÏ°', '3-4.5Ç§/ÔÂ', '³É¶¼-ÎäºîÇø', '1Äê¾­Ñé', '´ó×¨', 'ÕÐ3ÈË', '10-08·¢²¼'), 'Î÷°²¼ªÏé¹ûÐÅÏ¢¿Æ¼¼ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:40:53 $(filename)s : INFO (15, ('python¿ª·¢¹¤³ÌÊ¦', '4.5-8Ç§/ÔÂ', 'ÎÂÖÝ', '1Äê¾­Ñé', '±¾¿Æ', 'ÕÐ2ÈË', '10-08·¢²¼'), 'Õã½­¾«Í¨×Ô¶¯¿ØÖÆ¼¼ÊõÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:40:53 $(filename)s : INFO (16, ('Python¸ß¼¶¿ª·¢¹¤³ÌÊ¦', '6-9Ç§/ÔÂ', 'Î÷°²-¸ßÐÂ¼¼Êõ²úÒµ¿ª·¢Çø', '2Äê¾­Ñé', '´ó×¨', 'ÕÐ5ÈË', '10-08·¢²¼'), 'Î÷°²ÉîË¼ÐÅÏ¢¿Æ¼¼ÓÐÏÞ¹«Ë¾')
2020-10-08 Thursday 22:40:53 $(filename)s : INFO (17, ('ÉÙ¶ù±à³Ì½²Ê¦£¨scratch/python/c++£©', '0.8-1.6Íò/ÔÂ', '¹ãÖÝ-ÌìºÓÇø', 'ÎÞÐè¾­Ñé', '±¾¿Æ', 'ÕÐ1ÈË', '10-08·¢²¼'), '¹ãÖÝÑ§Âë½ÌÓý¿Æ¼¼ÓÐÏÞ¹«Ë¾')
